Team,Structure (10),Grammar (2),Roles (5),Open and closed questions (5),Questions structured (5),Questions relevant (5),General to specific questions (5),Transcript (5),Screenshots present (4),Table easy to read (5),Products and features are relevant to what customer wants (8),Summarizing critical points of interview (10),Clear learning points (10),Questions the team still has (10),Outline of the next steps (10),Recording is present (2),Total (101),Feedback
Team 1,10.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,8.00,10.00,10.00,10.00,10.00,0.00,99.00%,"No Report outline (Overview)
Brief project name/idea will be great
Interview was carried out properly with a mixed of both close and open questions
Generally, your document text is not pleasant to read. Text is too close to each other."
Team 2,8.00,2.00,5.00,3.00,3.00,3.00,4.00,5.00,4.00,4.00,8.00,6.00,8.00,10.00,6.00,2.00,82.00%,"No Report outline (Overview - Table of Content) Difficult to identify separate sections of your report
You could also add responsibilities of each team member
Questions weren’t organise/structured properly. They began too specific after the first open question. Most of your questions could be answered with yes/no.
Competitor analysis table could be more detailed - not only pros/cons - we also needed feature assessment for each competitor.
Very vague next steps"
Team 3,8.00,2.00,5.00,4.00,3.00,4.00,3.00,5.00,4.00,4.00,8.00,10.00,10.00,10.00,6.00,2.00,89.00%,"No Report outline(Title) (Overview - Table of Content) Difficult to identify separate sections of your report. Generally, your document text is not pleasant to read. Text is too close to each other.
Only one question addresses customers problem. Some questions aren’t explicit enough “Stack?”
Very vague next steps"
Team 4,9.00,2.00,5.00,4.00,3.00,4.00,4.00,5.00,4.00,4.00,8.00,8.00,8.00,5.00,6.00,2.00,82.00%,"No Report outline (Overview)
Brief project name/idea will be great
Questions begin very specific without getting to understand customer pain point
Needed more information in the competitive analysis table. +/- is not enough to understand various features and how differently they are implemented. Your team didn’t state any unclear requirements you will like to clarify in the future
Very vague next steps"
Team 5,9.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,8.00,10.00,10.00,4.00,10.00,2.00,95.00%,"No Report outline (Overview)
Brief project idea will be great
You could also add responsibilities of each team member
Questions begin very specific without getting to understand customer pain point.
25 questions is good but too much.
Your team didn’t state any unclear requirements you will like to clarify in the future "
Team 6,9.00,2.00,5.00,5.00,4.00,5.00,5.00,5.00,4.00,5.00,6.00,10.00,10.00,4.00,6.00,0.00,86.00%,"No Report outline (Overview)
You could also add responsibilities of each team member
Questions begin very specific without getting to understand customer pain point.
Customer is most probably interested in having a telegram bot, research focused more on existing services (web-based)
Your team didn’t state any unclear requirements you will like to clarify in the future
Very vague next steps"
Team 7,10.00,2.00,5.00,5.00,4.00,4.00,5.00,5.00,4.00,5.00,8.00,10.00,10.00,8.00,8.00,2.00,96.00%,"No Report outline (Overview)
You could also add responsibilities of each team member
21 questions is good but too much. It would have been great to better prioritize questions and take the first 10-15.
Nice to know, you have some questions you plan to do follow up with.
The next steps are kind of general (like we will do what we plan to do). You could try to be more specific"
Team 8,9.00,2.00,5.00,5.00,5.00,4.00,5.00,4.00,4.00,5.00,8.00,10.00,10.00,10.00,10.00,0.00,97.00%,"No Report outline (Overview)
Brief project name/idea will be great
Questions begin very specific without getting to understand customer pain point.
Overall, good work. Keep it up"
Team 9,10.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,8.00,10.00,10.00,10.00,8.00,2.00,100.00%,"Brief project name/idea will be great
Great questions and documentation, especially the competitive analysis table."
Team 10,9.00,2.00,5.00,5.00,5.00,4.00,4.00,5.00,0.00,4.00,8.00,10.00,10.00,10.00,10.00,0.00,92.00%,"Brief project name/idea will be great
We practiced customer interviews in class. I was not expecting you to pick this question as your first question. It does not touch the customer’s direct pain. Competitive analysis table could be more insightful. No screenshots"
Team 11,8.00,2.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,8.00,10.00,10.00,8.00,10.00,2.00,96.00%,No Report outline (Overview). Difficult to identify separate sections of your report. Competitive analysis table could be more insightful +/- doesn’t give much information. Seems you have other questions which you didn’t add at the moment.
Team 12,10.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,0.00,4.00,8.00,10.00,10.00,10.00,10.00,0.00,95.00%,"No Report outline (Overview/Agenda).
No screenshots of mentioned applications. Competitive analysis table could be more descriptive
It is ok that your requirements change. I am happy your team reorganised to make sure the project succeeds"
Team 13,10.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,3.00,8.00,10.00,10.00,10.00,10.00,0.00,98.00%,Check attached feedback file.
Team 14,10.00,2.00,5.00,3.00,5.00,3.00,5.00,3.00,4.00,5.00,6.00,10.00,10.00,8.00,9.00,0.00,89.00%,Check attached feedback file.
Team 15,10.00,2.00,5.00,5.00,5.00,5.00,4.00,1.00,4.00,3.00,8.00,10.00,10.00,0.00,4.00,0.00,77.00%,Check attached feedback file.
Team 16,9.00,2.00,5.00,2.00,3.00,5.00,5.00,5.00,4.00,5.00,6.00,10.00,10.00,7.00,10.00,0.00,89.00%,Check attached feedback file.
Team 17,9.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,6.00,10.00,10.00,10.00,10.00,2.00,99.00%,Check attached feedback file.
Team 18,10.00,2.00,5.00,4.00,5.00,5.00,5.00,5.00,4.00,5.00,6.00,10.00,10.00,10.00,10.00,2.00,99.00%,Check attached feedback file.
Team 19,9.00,2.00,2.00,5.00,3.00,5.00,5.00,4.00,4.00,5.00,7.00,10.00,10.00,8.00,10.00,2.00,92.00%,Check attached feedback file.
Team 20,8.00,2.00,5.00,5.00,5.00,5.00,5.00,2.00,4.00,5.00,8.00,10.00,10.00,2.00,2.00,2.00,81.00%,Check attached feedback file.
Team 21,9.00,2.00,5.00,3.00,3.00,3.00,3.00,1.00,4.00,3.00,6.00,10.00,10.00,4.00,8.00,0.00,75.00%,Check attached feedback file.
Team 22,8.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,8.00,10.00,10.00,10.00,10.00,2.00,100.00%,Check attached feedback file.
Team 23,10.00,2.00,5.00,3.00,3.00,5.00,4.00,5.00,4.00,5.00,8.00,10.00,10.00,10.00,10.00,2.00,97.00%,Check attached feedback file.
Team 24,7.00,2.00,5.00,4.00,5.00,4.00,4.00,1.00,3.00,4.00,6.00,10.00,10.00,10.00,10.00,0.00,86.00%,Check attached feedback file.
Team 25,10.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,7.00,10.00,4.00,4.00,8.00,2.00,87.00%,https://drive.google.com/file/d/1iMnuIaUlAr9fBC8ivOa5fa4qw5BU_ybh/view?usp=sharing
Team 26,10.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,3.00,8.00,10.00,7.00,10.00,10.00,2.00,97.00%,https://drive.google.com/file/d/136Hd7SvQ4xbrAK4l8DcBpmVbwXPqN-fJ/view?usp=sharing
Team 27,10.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,8.00,6.00,7.00,10.00,10.00,2.00,95.00%,https://drive.google.com/file/d/1_quYPNxg_Dc10eeFy7AI9yTIO7icA3WD/view?usp=sharing
Team 28,10.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,8.00,10.00,8.00,8.00,10.00,2.00,98.00%,https://drive.google.com/file/d/1MLpHdKsBA1876cCPYHqZku40_BDmd5Ex/view?usp=sharing
Team 29,10.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,8.00,10.00,10.00,10.00,10.00,2.00,100.00%,https://drive.google.com/file/d/1NIf7Pl7Uw4kndqky6RjylhkfJSn7jc5t/view?usp=share_link
Team 30,10.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,8.00,10.00,10.00,9.00,10.00,2.00,100.00%,https://drive.google.com/file/d/1fhGIYkUB2ejzE0F2XPqAQQx0E2qB2jZv/view?usp=share_link
Team 31,10.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,8.00,7.00,9.00,10.00,10.00,0.00,96.00%,https://drive.google.com/file/d/1h710D-kjOcXiETdtkbNT7zLeqMvG7TcQ/view?usp=sharing
Team 32,10.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,8.00,9.00,8.00,10.00,10.00,2.00,99.00%,https://drive.google.com/file/d/1uCeEWJjx1FVaSZtdbswSMFyO_MSQPnFU/view?usp=sharing
Team 33,10.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,8.00,10.00,8.00,10.00,10.00,2.00,100.00%,https://drive.google.com/file/d/1bwqpS6tyI_TUl8CcihQiu_Mbv5n07bLa/view?usp=sharing
Team 34,8.00,2.00,5.00,5.00,5.00,5.00,4.00,5.00,4.00,5.00,8.00,9.00,7.00,6.00,10.00,0.00,89.00%,https://drive.google.com/file/d/1kfT1WiFGk1Z8KwAVQOrKkpVzxEUp942L/view?usp=sharing
Team 35,10.00,2.00,5.00,5.00,5.00,5.00,4.00,5.00,4.00,5.00,8.00,10.00,9.00,10.00,10.00,2.00,100.00%,https://drive.google.com/file/d/1yMZMiIX2TUH3rNFnYMXYFxK2V6IAredo/view?usp=sharing
Team 36,9.00,1.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,3.00,6.00,9.00,10.00,10.00,10.00,2.00,95.00%,"Grammar typos. Not detailed enough feature analysis. Inconvenient to compare the table because of screenshots inside the table. Screenshots also have to explain features, not just to demonstrate general view of a service"
Team 37,8.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,8.00,10.00,10.00,10.00,10.00,2.00,100.00%,"No project title. Too many links, it is not convenient to jump between different documents. At least interview script could be inserted."
Team 38,9.00,2.00,5.00,5.00,5.00,5.00,5.00,2.00,4.00,5.00,8.00,10.00,10.00,10.00,10.00,2.00,98.00%,"The number of answers does not correspond to number of questions, no transcript. More detailed answers are required, and summarizing could be done later in the end of the report. If you were missing space, you could use extra link. Duplicated Reflection points, questions to customer, etc."
Team 39,9.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,8.00,10.00,10.00,2.00,1.00,2.00,85.00%,"No project title. The sound in the video record is not loud enough. It is preferred not to type too close to microphone, because it creates additional noise. Do you have any questions left after the interview? Presence of references is very positive"
Team 40,10.00,2.00,5.00,4.00,3.00,5.00,4.00,2.00,4.00,5.00,8.00,10.00,10.00,10.00,8.00,2.00,93.00%,"The number of answers does not correspond to number of interview questions, no transcript. More detailed answers are required, and summarizing could be done later in the end of the report. The conversation doesn’t look structured, spaces between monologues of customer doesn’t look like a good interview. Especially, Russian chatting on the background doesn’t look good. Customer looks like the main person just delivering his ideas, while he should be asked to answer your questions. TODO list is very vague"
Team 41,8.00,2.00,5.00,5.00,5.00,5.00,5.00,2.00,4.00,5.00,8.00,10.00,10.00,10.00,10.00,2.00,97.00%,"No project title. Interview script is not equal to content of interview. For this separately interview had to be provided. Unclear why music plays on the background of a record, it disturbs the interview and creates problems with listening."
Team 42,9.00,1.00,5.00,5.00,5.00,5.00,5.00,2.00,2.00,4.00,8.00,6.00,6.00,10.00,9.00,2.00,85.00%,"No project title. Interview script is not equal to content of interview. For this separately interview had to be provided. Screenshots are unreadable, no link to source. Publications are not competing tools, only 1 publication has a code source. Are there any existing tools? Typos in the text present. Excel is not a database. The report is very superficial, hard to get the main ideas, it is written for not the external but internal person, this doesn’t seem right."
Team 43,8.00,2.00,5.00,5.00,5.00,5.00,5.00,3.00,3.00,5.00,7.00,10.00,10.00,10.00,10.00,2.00,96.00%,"No project title and document title. The structure could have been done better. Screenshots are not fully readable. Feature design seems to be hard to compare, unclear how it was done. Probably feature name had to be stated differently. The client is not interested in students attending sport classes but to make them do sports in general. Therefore, it is important in transcript to provide the text of a conversation, not to generalize in part related to interview transcript. Here is how you can avoid some problems"
Team 44,10.00,2.00,5.00,5.00,5.00,5.00,5.00,4.00,0.00,4.00,8.00,10.00,10.00,10.00,10.00,2.00,96.00%,For interview transcript it’s better to use the exact words instead of rephrasing. This may reduce the problems with interpretation. The screenshots could have been added from used competitors
Team 45,9.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,8.00,10.00,10.00,10.00,10.00,0.00,98.00%,No project title. Instead of the link to an audio the pdf’s first page is illustrated. Interview script is not equal to content of interview. Unclear what products are compared in the table. No links to source files of screenshots
Team 46,10.00,2.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00,5.00,7.00,8.00,9.00,9.00,9.00,2.00,91.00%,https://drive.google.com/file/d/1rjV_TJrz0rr2wLHJhL-9te4p_dKcHgoD/view?usp=drive_link
Team 47,10.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,5.00,10.00,9.00,9.00,10.00,2.00,97.00%,https://drive.google.com/file/d/1tXsUO6Z4XWwjPmKN6OrRWqG5Gz30YM54/view?usp=drive_link
Team 48,9.00,2.00,4.50,3.00,3.00,4.00,3.00,4.00,3.00,3.00,8.00,7.00,7.00,6.00,9.00,2.00,78.50%,https://drive.google.com/file/d/1ZPpnMlJCoxIo51FgN5M6c71Cb0yiFKGI/view?usp=drive_link
Team 49,9.00,2.00,4.00,5.00,4.00,4.00,4.00,5.00,4.00,4.00,8.00,7.00,4.00,4.00,5.00,2.00,76.00%,https://drive.google.com/file/d/1o5R__I6rvp8LeRDoRYKnnK4M_qL_Xca9/view?usp=drive_link
Team 50,9.00,1.00,5.00,5.00,4.00,5.00,5.00,4.00,4.00,4.00,6.00,8.00,4.00,4.00,6.00,2.00,77.00%,https://drive.google.com/file/d/1btJYMbNqO35OGTS9bpmBxC_wRbxcpgCb/view?usp=drive_link
Team 51,7.00,2.00,5.00,5.00,4.00,5.00,5.00,4.00,4.00,4.00,7.00,7.00,8.00,8.00,8.00,2.00,86.00%,https://drive.google.com/file/d/1IOpn6I4DMzBmz9_85741r-eT9AANeQZz/view?usp=drive_link
Team 52,10.00,2.00,5.00,2.00,5.00,5.00,5.00,5.00,4.00,5.00,5.00,10.00,10.00,10.00,8.00,2.00,94.00%,Check attached feedback file.
Team 53,2.00,2.00,5.00,4.00,3.00,4.00,3.00,5.00,4.00,5.00,8.00,4.00,10.00,9.00,8.00,2.00,79.00%,Check attached feedback file.
Team 54,9.00,2.00,5.00,5.00,5.00,5.00,5.00,2.00,4.00,0.00,2.00,10.00,10.00,5.00,10.00,0.00,80.00%,Check attached feedback file.
Team 55,8.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,8.00,10.00,10.00,8.00,8.00,2.00,96.00%,Check attached feedback file.
Team 56,8.00,2.00,5.00,5.00,5.00,5.00,5.00,2.00,4.00,0.00,2.00,5.00,5.00,0.00,0.00,2.00,56.00%,Check attached feedback file.
Team 57,10.00,2.00,5.00,5.00,3.00,5.00,5.00,5.00,4.00,5.00,6.00,10.00,10.00,10.00,10.00,2.00,98.00%,Check attached feedback file.
